Name,Address,District,Cuisine Type,Restaurant Type,Price Range,Smile Score,Cry Score,Promotions,Contact,Opening Hours,URL
Arca Society,"3/F, the Arca, 43 Heung Yip Road, Wong Chuk Hang",Wong Chuk Hang,International,Hotel Restaurant,$101-200,21,8,N/A,37016030,07:30 - 21:00,https://www.openrice.com/en/hongkong/r-arca-society-wong-chuk-hang-international-r708261
撻QC＋煮,"Shop C, G/F, 5-9 Fuk Lo Tsun Road, Kowloon City",Kowloon City,Guangdong,Hong Kong Style,$101-200,5,0,mediaItemThumbnail,56007246 (WhatsApp),13:00 - 16:0018:15 - 21:30,https://www.openrice.com/en/hongkong/r-%E6%92%BBqc-%E7%85%AE-kowloon-city-hong-kong-style-r874828
A-1 BAKERY,"Shop SUW 2, Sung Wong Toi MTR Station, Kowloon City",Kowloon City,Western,Bakery,Below $50,2,0,N/A,23340208,07:00 - 21:00,https://www.openrice.com/en/hongkong/r-a-1-bakery-kowloon-city-western-bakery-r716650
Crystal Lily Restaurant,"Shop A-B, G/F, 5-9 Fuk Lo Tsun Road, Kowloon City",Kowloon City,Hong Kong Style,Ramen,$51-100,1,0,N/A,N/A,06:00 - 00:00,https://www.openrice.com/en/hongkong/r-crystal-lily-restaurant-kowloon-city-hong-kong-style-ramen-r887728
tong kee bao dim,"Shop SUW 1, Sung Wong Toi MTR Station, Kowloon City",Kowloon City,Hong Kong Style,Dim Sum,Below $50,0,0,mediaItemThumbnail,23434133,06:30 - 22:00,https://www.openrice.com/en/hongkong/r-tong-kee-bao-dim-kowloon-city-hong-kong-style-dim-sum-r715918
Ko Shan Culture Tea & Coffee,"1/F, New Wing, Ko Shan Theatre, 77 Ko Shan Road, Hung Hom",Hung Hom,Italian,All Day Breakfast,$51-100,38,2,mediaItemThumbnail,65469053,11:00 - 20:00,https://www.openrice.com/en/hongkong/r-ko-shan-culture-tea-coffee-hung-hom-italian-all-day-breakfast-r845346
楊記麻辣魚館 (馬頭圍道),"G/F, 189 Ma Tau Wai Road, To Kwa Wan",To Kwa Wan,Sichuan,Stir-Fry,$101-200,5,1,N/A,98839558,11:30 - 23:00,https://www.openrice.com/en/hongkong/r-%E6%A5%8A%E8%A8%98%E9%BA%BB%E8%BE%A3%E9%AD%9A%E9%A4%A8-to-kwa-wan-sichuan-r745828
FreshPoint FineFood specialist,"Shop 6, G/F, Downtown 38, 38 Pak Tai Street, To Kwa Wan",To Kwa Wan,International,Online Shop/ Food Distributor,Below $50,7,0,N/A,35203699,10:00 - 21:00,https://www.openrice.com/en/hongkong/r-freshpoint-finefood-specialist-to-kwa-wan-international-r783294
Ice Restaurant (Pak Tai Street),"G/F, 12-16 Pak Tai Street, To Kwa Wan",To Kwa Wan,Hong Kong Style,Tea Restaurant,$51-100,5,2,N/A,21531223,07:00 - 22:00,https://www.openrice.com/en/hongkong/r-ice-restaurant-to-kwa-wan-hong-kong-style-r721710
雁門山西刀削麵,"G/F, 292 Ma Tau Wai Road, To Kwa Wan",To Kwa Wan,Shanxi (Jin),$51-100,N/A,4,0,N/A,55626667,12:00 - 21:00,https://www.openrice.com/en/hongkong/r-%E9%9B%81%E9%96%80%E5%B1%B1%E8%A5%BF%E5%88%80%E5%89%8A%E9%BA%B5-to-kwa-wan-shanxi-jin-r818664
KUNG FU TEA (The Vantage),"Shop 1, G/F, The Vantage, 63 Ma Tau Wai Road, Hung Hom",Hung Hom,Taiwan,Taiwanese Drink,Below $50,3,2,N/A,92258524,12:00 - 22:30,https://www.openrice.com/en/hongkong/r-kung-fu-tea-hung-hom-taiwan-taiwanese-drink-r725947
Thirty Eight,"G/F, 38 Pak Tai Street, To Kwa Wan",To Kwa Wan,Hong Kong Style,Tea Restaurant,Below $50,3,2,N/A,28918900,11:00 - 22:00,https://www.openrice.com/en/hongkong/r-thirty-eight-to-kwa-wan-hong-kong-style-r745474
HANA SENJU (Chung Hwa Building),"Shop 2-3, G/F, Chung Hwa Building, 3A-3C MA HANG CHUNG ROAD, To Kwa Wan",To Kwa Wan,Japanese,Sushi/Sashimi,$51-100,1,0,N/A,36187890,10:30 - 22:00,https://www.openrice.com/en/hongkong/r-hana-senju-to-kwa-wan-japanese-sushi-sashimi-r728563
Gazebo,"G/F, 1K Pau Chung Street, To Kwa Wan",To Kwa Wan,Hong Kong Style,Snack Shop & Deli,Below $50,1,0,N/A,68011223,12:00 - 00:00,https://www.openrice.com/en/hongkong/r-gazebo-to-kwa-wan-hong-kong-style-r753464
Just Delicious,"Shop B, G/F, 47 Mei King Street, To Kwa Wan",To Kwa Wan,Indian,Western,$51-100,1,0,N/A,59022786,11:00 - 22:00,https://www.openrice.com/en/hongkong/r-just-delicious-to-kwa-wan-western-curry-r887369
A-1 BAKERY,"Shop TKW 8, To Kwa Wan MTR Station",To Kwa Wan,Western,Bakery,Below $50,0,0,N/A,23454755,07:00 - 21:00,https://www.openrice.com/en/hongkong/r-a-1-bakery-to-kwa-wan-western-bakery-r716664
TWLO,"Shop 9, G/F, Down Town, 38 Pak Tai Street, To Kwa Wan",To Kwa Wan,Hong Kong Style,$51-100,N/A,0,0,N/A,55407130,12:00 - 21:00,https://www.openrice.com/en/hongkong/r-twlo-to-kwa-wan-hong-kong-style-r891397
HUNG FOOK TONG,"Shop TKW 3, To Kwa Wan MTR Station",To Kwa Wan,Guangdong,Herbal Tea,Below $50,0,0,N/A,27797186,11:00 - 20:00,https://www.openrice.com/en/hongkong/r-hung-fook-tong-to-kwa-wan-guangdong-herbal-tea-r716671
SUSHI TAKE-OUT,"Shop TKW 4, To Kwa Wan MTR Station",To Kwa Wan,Japanese,Sushi/Sashimi,Below $50,0,0,N/A,26019428,11:00 - 22:30,https://www.openrice.com/en/hongkong/r-sushi-take-out-to-kwa-wan-japanese-sushi-sashimi-r716629
Le Moreton(Under Renovation),"1/F, Elysion Place Hotel Causeway Bay, 7 Moreton Terrace",Causeway Bay,International,$51-100,N/A,0,0,N/A,31638888,N/A,https://www.openrice.com/en/hongkong/r-le-moreton-causeway-bay-international-r715349
